customernumber;date;salutation;title;domain;datecreated;newsletter;model;paymenttype;deliverytype;invoicepostcode;delivpostcode;voucher;advertisingdatacode;case;numberitems;gift;entry;points;shippingcosts;deliverydatepromised;deliverydatereal;weight;remi;cancel;used;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;target90
56;2008-04-08;0;0;2;2008-04-08;0;3;0;0;31; ;0; ;3;2;0;1;0;0;2008-04-10;2008-04-10;500;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
57;2008-10-18;0;0;12;2008-10-18;1;1;0;0;51; ;0;BD;4;3;0;0;0;0;2009-10-22;2008-10-30;1436;1;0;0;1;2;0;0;0;0;0;0;0;0;0;1
67;2008-11-16;1;0;12;2008-11-16;0;2;2;0;50; ;1; ;1;1;0;1;0;0;2008-11-18;2008-11-17;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
70;2008-08-09;1;0;9;2008-08-09;1;1;3;0;21; ;1;AZ;1;1;0;0;0;0;2008-08-12;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
73;2008-12-16;1;0;4;2008-12-16;0;1;1;1;87; ;0; ;4;1;0;0;0;0;2009-12-21;2008-12-22;101;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
77;2008-07-22;0;0;5;2008-07-22;0;2;0;0;51; ;0; ;5;5;0;1;0;0;2008-07-24;2008-07-23;1310;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0
93;2008-09-08;1;0;1;2008-09-08;0;1;0;0;40; ;0; ;5;2;0;0;0;0;2008-09-10;2008-09-09;403;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1
99;2008-04-21;0;0;0;2008-04-21;0;3;1;1;22; ;0; ;3;1;0;1;0;0;2008-04-22;2008-04-21;367;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
100;2008-04-18;0;0;4;2008-04-18;0;3;2;0;64;64;1; ;4;2;0;1;0;0;2008-04-21;2008-04-18;1108;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
114;2008-11-12;1;0;2;2008-11-12;0;3;2;0;48; ;0;AQ;5;2;0;0;0;0;2008-11-13;2008-11-13;909;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
117;2008-08-11;1;0;12;2008-08-11;0;1;3;0;22; ;0;BC;3;3;0;0;0;0;2008-08-13;2008-08-12;569;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
119;2008-10-05;0;0;6;2008-10-05;0;2;0;0;47; ;0; ;4;3;0;1;0;0;2008-10-07;2008-10-06;1426;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
140;2008-08-11;0;0;4;2008-08-11;0;1;0;0;34; ;0; ;3;1;0;0;0;0;2008-08-13;2008-08-12;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
147;2008-08-22;0;0;9;2008-08-22;0;2;0;0;50; ;0; ;4;2;0;1;0;0;2008-08-25;2008-08-22;1013;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
153;2008-06-29;1;0;4;2008-06-29;0;2;3;0;44; ;0; ;3;1;0;1;0;0;2008-07-01;0000-00-00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
162;2008-09-20;0;0;8;2008-09-20;0;3;2;0;19; ;0; ;3;3;0;1;0;0;2008-09-23;2008-09-22;429;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
203;2008-11-24;1;0;2;2008-11-24;0;1;3;0;30; ;0; ;3;1;0;0;0;0;2008-12-09;2008-12-12;519;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
204;2008-09-22;0;0;12;2008-09-22;0;1;3;0;82; ;0; ;4;4;0;0;0;0;2008-09-24;2008-09-23;694;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0
209;2008-12-15;0;0;12;2008-12-15;0;1;2;0;61; ;1; ;1;3;0;0;0;0;2008-12-30;2008-12-17;1786;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
219;2008-11-13;2;0;4;2008-11-13;0;1;2;0;45; ;0; ;5;1;0;0;0;0;2008-11-17;2008-11-14;533;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
220;2008-08-13;1;0;2;2008-08-13;0;1;0;0;37; ;0; ;2;2;0;0;0;1;2008-08-15;2008-08-15;249;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
221;2008-09-28;1;0;2;2008-09-28;1;1;2;0;41; ;1;AR;1;1;0;0;0;0;2008-09-30;0000-00-00;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
224;2008-05-23;1;0;2;2008-05-23;0;3;3;0;99; ;0; ;4;1;0;1;0;0;2008-05-27;2008-05-24;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
227;2008-04-26;1;0;4;2008-04-17;0;1;2;0;76; ;0; ;3;1;0;0;0;0;2008-04-29;2008-04-26;457;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
239;2008-11-28;1;0;12;2008-11-28;0;1;3;0;10; ;0; ;3;1;0;0;0;0;2008-12-11;2009-01-13;443;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
244;2008-12-03;0;0;8;2008-12-03;0;1;2;0;84; ;0; ;3;1;0;0;0;0;2008-12-05;2008-12-04;421;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
248;2008-04-12;0;0;9;2008-04-12;0;1;1;1;35; ;0; ;4;4;0;0;0;0;2008-04-28;2008-04-15;1158;0;0;0;1;0;3;0;0;0;0;0;0;0;0;1
252;2008-12-06;1;0;0;2008-12-06;0;1;3;0;17; ;0; ;2;2;0;0;0;0;2008-12-09;0000-00-00;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
258;2008-11-24;1;0;12;2008-11-24;1;2;2;0;44; ;0; ;3;3;0;1;0;0;2008-12-09;2008-11-27;784;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1
259;2008-07-14;0;0;12;2008-07-14;0;1;0;0;72; ;0;AB;3;3;0;0;0;0;2008-07-15;2008-07-14;1299;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
266;2008-05-15;0;0;8;2008-05-15;0;2;0;0;44; ;1; ;3;4;0;1;0;0;2008-05-28;2008-05-23;1289;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
268;2008-09-12;1;0;12;2008-09-12;0;1;0;0;47; ;0;BQ;5;10;0;0;0;0;2008-09-25;2008-10-29;1692;0;3;0;0;0;0;0;0;0;0;0;0;7;0;0
277;2008-09-08;1;0;2;2008-09-08;0;1;0;0;65; ;0;CA;2;1;0;0;0;1;2008-09-10;2008-09-09;751;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
282;2008-11-24;1;0;12;2008-11-24;0;1;2;0;13; ;0; ;3;1;0;0;0;0;2008-11-26;2008-11-25;402;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
296;2008-11-18;0;0;11;2008-11-18;0;3;0;0;4; ;0; ;5;3;0;1;0;0;2008-12-02;2008-11-18;1892;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1
300;2008-05-27;0;0;12;2008-05-27;0;3;3;0;63; ;1; ;3;2;0;1;0;0;2008-05-28;2008-05-27;776;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
301;2008-09-05;1;0;4;2008-09-05;0;1;0;0;18; ;0; ;2;1;0;0;0;0;2008-09-08;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
304;2008-12-12;1;0;12;2008-12-12;0;1;0;0;83; ;0; ;3;1;0;0;0;0;2008-12-16;2008-12-13;984;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
310;2008-12-15;1;0;8;2008-12-14;0;1;1;1;39; ;0;BD;5;1;0;0;0;0;2008-12-16;2008-12-15;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
311;2008-12-03;0;0;8;2008-12-03;1;3;0;0;86; ;0; ;4;3;0;1;0;0;2008-12-05;2008-12-04;620;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1
326;2008-11-04;1;0;4;2008-11-04;0;1;2;0;90; ;0; ;1;1;0;0;0;0;2008-11-05;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
337;2008-05-05;0;0;12;2008-04-22;0;1;2;0;24; ;0;AB;1;1;0;0;0;0;2008-05-07;0000-00-00;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
343;2008-12-09;1;0;9;2008-12-09;0;2;1;1;41; ;0; ;3;3;0;1;0;0;2008-12-11;2008-12-11;584;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0
347;2008-09-09;2;0;12;2008-09-09;0;1;0;0;34; ;0; ;3;1;0;0;0;0;2008-09-10;2008-09-09;576;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
359;2008-04-04;1;0;12;2008-04-04;0;1;3;0;28; ;0; ;1;1;0;0;0;0;2008-04-10;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
373;2008-09-26;0;0;12;2008-09-26;0;1;1;1;55; ;0; ;4;2;0;0;0;0;2008-09-30;2008-09-29;696;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
380;2008-12-08;0;0;11;2008-12-08;0;1;0;0;12; ;0;AK;3;1;0;0;0;0;2008-12-10;2008-12-09;902;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
383;2008-05-21;0;0;8;2008-05-21;0;1;0;0;38; ;0; ;2;1;0;0;0;1;2008-05-22;2008-05-21;213;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
385;2008-12-11;1;0;4;2008-12-11;0;3;1;1;24; ;0; ;3;1;0;1;0;0;2008-12-15;2008-12-12;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
401;2008-10-27;1;0;9;2008-10-27;0;1;1;1;40; ;0; ;1;1;0;0;0;0;2008-11-11;2008-11-13;62;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
412;2008-09-26;1;0;9;2008-09-26;1;1;0;0;24; ;1;AB;3;2;0;0;0;0;2008-09-30;2008-09-29;475;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
419;2008-04-06;1;0;1;2008-04-06;0;1;3;0;90; ;0; ;3;1;0;0;0;0;2008-04-08;2008-04-07;792;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
424;2008-11-11;0;0;9;2008-11-11;0;1;3;0;90; ;0; ;5;7;0;0;0;0;2008-11-12;2008-11-11;3156;0;0;0;7;0;0;0;0;0;0;0;0;0;0;1
425;2008-04-05;0;0;4;2008-04-05;0;3;0;0;85; ;0; ;3;1;0;1;0;0;2008-04-08;2008-04-05;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
429;2008-05-30;0;0;12;2008-05-30;0;2;1;1;50; ;0; ;4;3;0;1;0;0;2008-06-03;2008-05-31;1303;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
431;2008-09-05;2;0;9;2008-09-05;1;1;2;0;85; ;0; ;4;4;0;0;0;0;2008-09-19;2008-09-08;1710;0;0;3;3;1;0;0;0;0;0;0;0;0;0;0
432;2008-12-19;0;0;4;2008-12-19;1;3;0;0;49; ;0; ;5;2;0;1;0;0;2008-12-22;2008-12-19;1633;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1
440;2008-06-20;1;0;12;2008-06-20;0;2;2;0;59; ;0; ;4;2;0;1;0;0;2008-07-04;2008-07-01;1017;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1
447;2008-12-12;1;0;9;2008-12-12;0;1;3;0;61; ;1; ;3;2;0;0;0;0;2008-12-16;2008-12-14;689;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
449;2008-07-08;0;0;4;2008-07-08;0;2;2;0;44; ;1; ;2;3;0;1;0;0;2008-07-10;2008-07-09;1723;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
466;2008-10-21;0;0;8;2008-10-21;0;1;0;0;13; ;0; ;4;2;0;0;0;0;2008-10-22;2008-10-21;822;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
474;2008-09-03;0;0;4;2008-09-03;0;3;1;1;24; ;0; ;3;3;0;1;0;0;2008-09-05;2008-09-04;551;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
489;2008-12-01;0;0;12;2008-05-20;1;3;1;1;23; ;0;BD;4;1;0;1;0;0;2008-12-02;2008-12-01;968;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
506;2008-07-23;0;0;8;2008-07-23;0;2;0;0;33; ;1; ;2;2;0;1;0;0;2008-07-25;2008-07-24;944;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
516;2008-07-08;1;0;4;2008-07-08;0;3;1;1;78; ;0; ;4;1;0;1;0;0;2008-07-10;2008-07-09;810;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
525;2008-04-25;1;0;12;2008-04-25;0;1;2;0;72; ;0; ;3;2;0;0;0;1;2008-04-29;2008-04-26;680;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
535;2008-12-05;1;0;2;2008-12-05;0;1;0;0;95; ;1;BD;3;2;0;0;0;0;2008-12-09;2008-12-06;716;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
551;2008-12-13;1;0;12;2008-12-13;0;1;0;0;41; ;0; ;3;1;0;0;0;0;2008-12-16;2008-12-13;810;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
556;2008-10-06;0;0;1;2008-10-06;1;1;0;0;22; ;0; ;1;2;0;0;0;1;2008-10-08;2008-10-07;99;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1
569;2008-06-18;2;0;3;2008-06-18;0;1;2;0;2; ;0; ;4;1;0;0;0;0;2008-06-20;2008-06-19;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
571;2008-09-29;1;0;9;2008-09-29;1;2;0;0;44; ;1; ;1;1;0;1;0;0;2008-09-30;2008-09-29;829;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
574;2008-07-18;1;0;9;2008-07-18;1;3;3;0;39; ;0; ;4;1;0;1;0;0;2008-07-22;0000-00-00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
577;2008-12-20;0;0;9;2008-12-20;0;2;1;1;45; ;0; ;2;2;0;1;0;0;2008-12-23;2008-12-23;430;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
578;2008-10-01;0;0;9;2008-10-01;0;3;1;1;31; ;0; ;4;2;0;1;0;0;2008-11-17;2008-11-04;419;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
586;2008-06-26;1;0;4;2008-06-26;0;1;0;0;79; ;0;BO;3;2;0;0;0;1;2008-06-30;2008-06-27;719;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
587;2008-05-25;1;0;3;2008-05-24;0;2;2;0;54; ;0; ;2;1;0;1;0;1;2008-05-27;2008-05-26;354;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
616;2008-11-14;1;0;9;2008-11-14;0;3;1;1;30; ;0; ;3;1;0;1;0;0;2008-11-18;2008-11-15;443;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
623;2008-04-13;1;0;9;2008-04-13;1;3;1;1;23; ;0; ;4;5;0;1;0;0;2008-04-15;2008-04-14;840;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0
636;2008-05-26;1;0;4;2008-05-26;0;3;2;0;81;81;0; ;3;1;0;1;0;0;2008-06-10;2008-06-11;960;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
637;2008-10-12;0;0;8;2008-10-12;0;1;3;0;46; ;0;AB;4;5;0;0;0;0;2008-10-28;2008-10-18;994;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0
641;2008-04-09;1;1;12;2008-04-09;0;1;0;0;40; ;0; ;4;2;0;0;0;0;2008-04-11;2008-04-10;794;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
653;2008-06-16;2;0;9;2008-06-16;0;1;0;0;97; ;1;AH;1;1;0;0;0;0;2008-06-17;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
654;2008-08-03;0;0;12;2008-08-03;0;1;0;0;18; ;0; ;5;8;0;0;0;0;2008-08-05;2008-08-04;2533;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0
656;2008-09-22;1;0;9;2008-09-22;0;1;2;0;42; ;0; ;1;1;0;0;0;1;2008-09-24;2008-09-23;195;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
657;2008-12-21;0;0;4;2008-12-21;0;1;3;0;9; ;0; ;3;1;0;0;0;0;2008-12-23;2008-12-22;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
659;2008-08-24;0;0;9;2008-08-24;0;1;2;0;90; ;0; ;2;1;0;0;0;0;2008-08-26;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
660;2008-06-01;0;0;9;2008-06-01;0;3;1;1;21; ;0; ;4;4;0;1;0;0;2008-07-01;2008-06-20;999;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0
669;2008-04-25;0;0;0;2008-04-25;1;1;2;0;45; ;0; ;1;1;0;0;0;0;2008-04-29;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
674;2008-08-26;1;0;4;2008-08-26;0;1;0;0;81; ;0;BF;3;4;0;0;0;0;2008-08-28;0000-00-00;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
676;2008-10-09;0;0;4;2008-10-02;1;2;0;0;41; ;0; ;5;3;0;1;0;0;2008-10-10;2008-10-09;1222;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1
681;2008-12-18;1;0;8;2008-12-18;0;1;3;0;22; ;0; ;4;2;0;0;0;0;2008-12-19;2008-12-18;1719;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
702;2008-12-17;2;0;12;2008-12-17;0;3;0;0;18; ;0; ;5;3;0;1;0;0;2008-12-18;2008-12-17;2125;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
708;2008-06-25;2;0;9;2008-06-25;0;1;3;0;50;53;0; ;2;1;0;0;0;1;2008-06-27;2008-06-26;220;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
736;2008-07-22;0;0;8;2008-07-16;0;2;0;0;52; ;0; ;4;3;0;1;0;0;2008-07-23;2008-07-22;1480;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0
750;2008-12-14;0;0;8;2008-12-14;0;1;0;0;66; ;0; ;4;2;0;0;0;0;2008-12-16;2008-12-16;631;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
753;2008-11-21;1;0;8;2008-11-21;0;2;2;0;50; ;0; ;3;2;0;1;0;0;2009-01-06;2008-12-27;981;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
761;2008-08-02;0;0;9;2008-08-02;0;1;3;0;77; ;0;BQ;2;1;0;0;0;0;2008-08-05;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
764;2008-07-13;1;0;2;2008-07-13;0;1;0;0;44; ;0;AE;2;1;0;0;0;1;2008-07-28;2008-07-16;244;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
766;2008-12-07;0;0;12;2008-12-07;1;1;0;0;46; ;0;AB;4;1;0;0;0;0;2008-12-09;2008-12-08;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
774;2008-10-04;0;0;3;2008-10-04;0;1;0;0;72; ;0; ;2;1;0;0;0;1;2008-10-07;2008-10-06;378;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
780;2008-10-11;0;0;4;2008-10-11;1;1;3;0;53; ;1;AX;1;1;0;0;0;0;2008-10-14;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
789;2008-12-09;0;0;1;2008-12-09;1;3;0;0;49; ;0; ;4;4;0;1;0;0;2008-12-10;2008-12-09;1908;0;0;0;0;3;0;0;0;0;0;0;0;0;1;1
795;2008-12-04;0;0;8;2008-12-04;0;1;0;0;94; ;0; ;1;1;0;0;0;1;2008-12-17;2008-12-14;205;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
799;2008-11-14;0;0;4;2008-11-14;0;1;0;0;37; ;0; ;3;1;0;0;0;1;2008-11-18;2008-11-15;215;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
803;2008-11-30;2;0;12;2008-11-30;0;1;2;0;22;20;0; ;3;3;0;0;0;0;2008-12-02;2008-12-01;845;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
804;2008-08-24;1;0;11;2008-08-24;0;1;1;1;63; ;0;AE;2;1;0;0;0;0;2008-09-08;2008-08-28;247;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
806;2008-12-19;0;0;12;2008-12-19;1;2;1;1;47; ;0; ;3;2;0;1;0;0;2008-12-22;2008-12-20;737;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0
808;2008-09-30;0;0;4;2008-09-30;0;2;1;1;42; ;0; ;4;2;0;1;0;0;2008-10-01;2008-10-01;736;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
822;2008-08-09;0;0;9;2008-08-09;0;2;1;1;45; ;0; ;1;1;0;1;0;0;2008-08-12;2008-08-12;461;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
823;2008-08-30;0;0;4;2008-08-30;0;1;0;0;70; ;0; ;3;1;0;0;0;0;2008-09-15;2008-10-17;960;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
825;2008-04-17;1;0;12;2008-04-17;0;1;0;0;37; ;0; ;3;3;0;0;0;0;2008-04-18;2008-04-17;426;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
835;2008-05-27;1;1;12;2008-05-27;0;1;2;0;52; ;1; ;3;2;0;0;0;0;2008-05-29;2008-05-28;794;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
839;2008-12-25;0;0;4;2008-12-25;0;1;0;0;85; ;0; ;2;1;0;0;0;1;2009-01-12;2009-01-10;141;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
863;2008-08-20;1;0;1;2008-08-20;0;1;1;1;10; ;0; ;4;3;0;0;0;0;2008-09-03;2008-09-02;336;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0
868;2008-10-01;2;0;2;2008-10-01;1;3;1;1;27; ;0; ;4;5;0;1;0;0;2008-10-14;2008-10-08;2058;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0
870;2008-11-04;2;0;12;2008-11-04;0;1;0;0;58; ;0; ;5;1;0;0;0;0;2008-11-18;2008-12-20;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
875;2008-06-14;0;0;8;2008-06-13;0;1;0;0;37; ;0; ;3;1;0;0;0;0;2008-06-17;2008-06-14;770;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
884;2008-08-05;0;0;9;2008-08-05;0;3;0;0;77; ;0; ;4;2;0;1;0;0;2008-08-06;2008-08-06;1177;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
887;2008-11-23;0;0;12;2008-11-23;0;3;1;1;54; ;0; ;4;3;0;1;0;0;2008-11-25;2008-11-24;1820;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
891;2008-05-19;0;0;4;2008-05-19;0;1;3;0;90; ;0; ;2;1;0;0;0;1;2008-05-20;2008-05-19;202;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
900;2008-05-14;0;0;4;2008-05-14;0;1;3;0;75; ;0; ;3;1;0;0;0;0;2008-05-15;2008-05-14;581;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
905;2008-10-16;0;0;12;2008-10-16;0;1;2;0;63; ;0;BQ;1;1;0;0;0;0;2008-10-17;0000-00-00;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
907;2008-10-01;0;0;5;2008-10-01;0;1;0;0;51; ;0; ;2;1;0;0;0;1;2008-10-03;2008-10-02;305;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
919;2008-12-10;0;0;4;2008-12-10;0;1;3;0;87; ;0; ;5;10;0;0;0;0;2008-12-24;2008-12-15;1971;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0
931;2008-06-01;2;0;12;2008-06-01;0;1;1;1;10; ;0; ;5;1;0;0;0;0;2008-06-03;2008-06-05;503;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
941;2008-07-10;2;0;12;2008-07-10;0;1;1;1;31; ;0; ;4;1;0;0;0;0;2008-07-11;2008-07-10;746;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
946;2008-06-18;2;0;5;2008-06-18;0;1;0;0;32; ;0; ;5;9;0;0;0;0;2008-07-02;2008-06-21;3428;2;7;0;0;0;0;0;0;0;0;0;0;2;0;1
947;2008-07-02;1;0;12;2008-07-02;0;1;2;0;27; ;0; ;3;1;0;0;0;0;2008-08-01;2008-07-03;874;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
949;2008-06-13;0;0;8;2008-06-13;0;2;3;0;33; ;1; ;1;4;0;1;0;0;2008-06-17;2008-06-14;793;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0
957;2008-12-11;1;0;12;2008-12-11;0;1;1;1;85; ;0;AB;4;3;0;0;0;0;2008-12-15;2008-12-12;1141;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0
963;2008-11-09;1;0;12;2008-11-09;0;3;1;1;12; ;0; ;4;2;0;1;0;0;2008-11-11;2008-11-10;987;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
